                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.8998,                 1.7086,                 2.4635,                0.00446,                0.33333,                0.24789,                0.05649,                 3.3634,                 4.2287,                  4.105,             0.00072843,             0.00072843,             0.00072843
                     51,                 1.7272,                 1.5954,                 2.4346,                0.00446,                0.33333,                0.24789,                0.05649,                 3.3634,                 4.2287,                  4.105,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.8975,                 1.8487,                 2.4926,                0.00575,                0.38333,                0.33259,                0.13198,                 2.9785,                 3.8936,                 3.8085,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.6126,                 1.5997,                 2.4325,                0.00575,                0.38333,                0.33259,                0.13198,                 2.9785,                 3.8936,                 3.8085,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.8429,                  1.656,                 2.5603,                0.01232,                0.65833,                0.55982,                0.25403,                  2.189,                 3.4831,                 3.6003,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.8255,                 1.5096,                  2.329,                0.01232,                0.65833,                0.55982,                0.25403,                  2.189,                 3.4831,                 3.6003,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.2321,                 1.5444,                 2.3739,                0.99025,                0.27651,                0.65321,                 0.2971,                  1.712,                 2.9298,                 3.1647,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.8943,                 1.7695,                 2.5734,                0.99025,                0.27651,                0.65321,                 0.2971,                  1.712,                 2.9298,                 3.1647,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.5031,                 1.4851,                 2.2807,                0.97741,                  0.325,                0.60402,                0.25209,                 1.7133,                  2.543,                 2.8504,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.944,                 2.0271,                 2.6332,                0.97741,                  0.325,                0.60402,                0.25209,                 1.7133,                  2.543,                 2.8504,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.8419,                 1.7379,                 2.5856,                0.59604,                0.38082,                0.62045,                0.33054,                 1.7234,                 2.2564,                 2.6754,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.5796,                 1.5055,                 2.2482,                0.59604,                0.38082,                0.62045,                0.33054,                 1.7234,                 2.2564,                 2.6754,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.8766,                 1.5535,                  2.605,                0.79232,                0.49333,                0.49127,                 0.3164,                  1.614,                 2.3092,                 2.6052,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.5958,                 1.6423,                 2.5324,                0.79232,                0.49333,                0.49127,                 0.3164,                  1.614,                 2.3092,                 2.6052,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.5473,                 1.3836,                 2.1196,                0.72189,                0.61942,                0.40894,                0.27449,                  1.582,                  2.677,                 2.6029,             0.00055188,             0.00055188,             0.00055188
                     65,                  1.534,                 1.4652,                 2.4162,                0.72189,                0.61942,                0.40894,                0.27449,                  1.582,                  2.677,                 2.6029,             0.00053773,             0.00053773,             0.00053773
                     66,                  1.619,                 1.4345,                  2.182,                0.76588,                0.60726,                 0.6061,                0.38626,                  1.535,                  2.391,                 2.5556,             0.00052359,             0.00052359,             0.00052359
                     67,                  1.787,                 1.4092,                 2.1783,                0.76588,                0.60726,                 0.6061,                0.38626,                  1.535,                  2.391,                 2.5556,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.6282,                 1.4393,                 2.2726,                0.96098,                0.66667,                 0.6798,                0.46506,                 1.3052,                 2.0246,                 2.3519,             0.00049529,             0.00049529,             0.00049529
                     69,                  1.724,                 1.5611,                  2.445,                0.96098,                0.66667,                 0.6798,                0.46506,                 1.3052,                 2.0246,                 2.3519,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.5183,                 1.3545,                 2.2395,                0.97755,                0.66667,                 0.7059,                0.50384,                 1.1665,                 1.7695,                 2.2046,               0.000467,               0.000467,               0.000467
                     71,                 1.4428,                  1.611,                 2.0103,                0.97755,                0.66667,                 0.7059,                0.50384,                 1.1665,                 1.7695,                 2.2046,             0.00045285,             0.00045285,             0.00045285
