                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.7836,                 1.6616,                 2.3304,                0.00453,                0.33333,                0.03691,                0.01391,                   3.15,                 4.0952,                 4.0617,              0.0013203,              0.0013203,              0.0013203
                     50,                 1.8614,                 1.6568,                 2.3707,                0.00407,                0.33333,                0.21311,                0.06986,                 2.9923,                 3.7599,                 3.8066,              0.0013461,              0.0013461,              0.0013461
                     51,                 1.6958,                  1.647,                 2.3088,                0.00407,                0.33333,                0.21311,                0.06986,                 2.9923,                 3.7599,                 3.8066,              0.0013583,              0.0013583,              0.0013583
                     52,                 1.8583,                 1.7268,                 2.3375,                0.01166,                0.61333,                0.22808,                0.09982,                 2.4727,                 3.5329,                 3.5364,              0.0013583,              0.0013583,              0.0013583
                     53,                 1.6384,                 1.5849,                 2.2866,                0.01166,                0.61333,                0.22808,                0.09982,                 2.4727,                 3.5329,                 3.5364,              0.0013568,              0.0013568,              0.0013568
                     54,                 1.8353,                 1.6125,                 2.3834,                 0.6281,                0.31667,                0.42464,                0.24504,                 1.9188,                 3.0696,                 3.0929,              0.0013554,              0.0013554,              0.0013554
                     55,                 1.9674,                  1.616,                 2.2124,                 0.6281,                0.31667,                0.42464,                0.24504,                 1.9188,                 3.0696,                 3.0929,               0.001354,               0.001354,               0.001354
                     56,                 2.2149,                  1.594,                 2.2225,                0.87472,                 0.5652,                0.59152,                0.35996,                 1.7783,                 2.4292,                 2.7396,              0.0013526,              0.0013526,              0.0013526
                     57,                 1.9769,                 1.8599,                 2.5585,                0.87472,                 0.5652,                0.59152,                0.35996,                 1.7783,                 2.4292,                 2.7396,              0.0013512,              0.0013512,              0.0013512
                     58,                 1.5028,                 1.4749,                  2.143,                0.86813,                0.66508,                0.63086,                0.39943,                  1.802,                 2.3079,                 2.6984,              0.0013498,              0.0013498,              0.0013498
                     59,                 2.0154,                 2.1906,                 2.6604,                0.86813,                0.66508,                0.63086,                0.39943,                  1.802,                 2.3079,                 2.6984,              0.0013484,              0.0013484,              0.0013484
                     60,                 1.9325,                 1.9255,                 2.5237,                0.63534,                0.64795,                0.66098,                0.35527,                  1.878,                 2.5042,                 2.7295,              0.0013469,              0.0013469,              0.0013469
                     61,                 1.5777,                 1.6031,                 2.2408,                0.63534,                0.64795,                0.66098,                0.35527,                  1.878,                 2.5042,                 2.7295,              0.0013455,              0.0013455,              0.0013455
                     62,                 1.9113,                 1.6892,                   2.56,                0.61562,                0.63981,                0.75454,                0.31037,                 1.9633,                 2.2475,                 2.5785,              0.0013441,              0.0013441,              0.0013441
                     63,                  1.571,                   1.68,                 2.4174,                0.61562,                0.63981,                0.75454,                0.31037,                 1.9633,                 2.2475,                 2.5785,              0.0013427,              0.0013427,              0.0013427
                     64,                 1.5797,                 1.5609,                 2.0129,                0.88184,                0.90133,                  0.995,                0.46304,                 1.6846,                 1.7771,                 2.5251,              0.0013413,              0.0013413,              0.0013413
                     65,                 1.6444,                 1.5369,                  2.386,                0.88184,                0.90133,                  0.995,                0.46304,                 1.6846,                 1.7771,                 2.5251,              0.0013399,              0.0013399,              0.0013399
                     66,                 1.6796,                 1.5152,                 2.1792,                0.73362,                0.98491,                  0.995,                0.45488,                 1.7139,                 1.5279,                 2.4588,              0.0013385,              0.0013385,              0.0013385
                     67,                 1.6494,                 1.3094,                  2.029,                0.73362,                0.98491,                  0.995,                0.45488,                 1.7139,                 1.5279,                 2.4588,               0.001337,               0.001337,               0.001337
                     68,                 1.7316,                 1.4724,                 2.2668,                0.72815,                0.95956,                  0.995,                  0.515,                 1.5023,                  1.675,                 2.3369,              0.0013356,              0.0013356,              0.0013356
                     69,                 1.7613,                 1.5539,                  2.362,                0.72815,                0.95956,                  0.995,                  0.515,                 1.5023,                  1.675,                 2.3369,              0.0013342,              0.0013342,              0.0013342
                     70,                 1.4671,                 1.3436,                 2.1168,                 0.5747,                0.88581,                0.71197,                0.31712,                 1.7278,                 3.1593,                 2.3444,              0.0013328,              0.0013328,              0.0013328
                     71,                 1.6243,                 1.5838,                 1.9609,                 0.5747,                0.88581,                0.71197,                0.31712,                 1.7278,                 3.1593,                 2.3444,              0.0013314,              0.0013314,              0.0013314
                     72,                 2.0934,                 1.4521,                 2.0131,                0.61155,                0.81333,                0.69552,                0.32065,                 1.6372,                 4.8922,                 2.3056,                0.00133,                0.00133,                0.00133
                     73,                 1.5614,                  1.332,                 1.9035,                0.61155,                0.81333,                0.69552,                0.32065,                 1.6372,                 4.8922,                 2.3056,              0.0013286,              0.0013286,              0.0013286
                     74,                 1.7563,                 1.8547,                 2.5093,                0.66668,                0.89333,                0.71624,                0.40307,                 1.2579,                 2.7632,                 2.1012,              0.0013271,              0.0013271,              0.0013271
                     75,                 1.3252,                 1.1422,                 1.9013,                0.66668,                0.89333,                0.71624,                0.40307,                 1.2579,                 2.7632,                 2.1012,              0.0013257,              0.0013257,              0.0013257
                     76,                 1.6323,                 1.6681,                  2.318,                0.96636,                      1,                0.99421,                0.55853,                 1.3417,                 1.1278,                 2.0753,              0.0013243,              0.0013243,              0.0013243
                     77,                 1.4629,                 1.2221,                 1.8179,                0.96636,                      1,                0.99421,                0.55853,                 1.3417,                 1.1278,                 2.0753,              0.0013229,              0.0013229,              0.0013229
                     78,                 1.4233,                 1.2829,                 1.9005,                0.98584,                0.96776,                0.99348,                0.55739,                 1.3877,                 1.0509,                 2.0927,              0.0013215,              0.0013215,              0.0013215
                     79,                 1.5571,                 1.1998,                 1.9121,                0.98584,                0.96776,                0.99348,                0.55739,                 1.3877,                 1.0509,                 2.0927,              0.0013201,              0.0013201,              0.0013201
                     80,                 1.4357,                 1.3476,                 2.0015,                0.99173,                0.93438,                0.98911,                0.54971,                 1.3349,                 1.0925,                 2.0683,              0.0013187,              0.0013187,              0.0013187
                     81,                 1.4016,                 1.1851,                 1.8125,                0.99173,                0.93438,                0.98911,                0.54971,                 1.3349,                 1.0925,                 2.0683,              0.0013172,              0.0013172,              0.0013172
                     82,                 1.4378,                 1.2305,                 1.9073,                0.76403,                 0.9634,                0.99449,                0.55709,                  1.318,                 1.1918,                 2.0119,              0.0013158,              0.0013158,              0.0013158
                     83,                 1.2873,                 1.1071,                 1.7709,                0.76403,                 0.9634,                0.99449,                0.55709,                  1.318,                 1.1918,                 2.0119,              0.0013144,              0.0013144,              0.0013144
                     84,                 1.5608,                 1.5867,                 2.1186,                0.76138,                0.86039,                0.99397,                0.62669,                 1.0962,                 1.4593,                 1.9033,               0.001313,               0.001313,               0.001313
                     85,                 1.1759,                 1.2229,                 1.8116,                0.76138,                0.86039,                0.99397,                0.62669,                 1.0962,                 1.4593,                 1.9033,              0.0013116,              0.0013116,              0.0013116
                     86,                  1.482,                 1.3092,                  1.801,                0.99729,                0.63537,                0.99104,                0.66442,                 1.0187,                 1.7032,                 1.8769,              0.0013102,              0.0013102,              0.0013102
                     87,                 1.4958,                 1.3005,                 1.9546,                0.99729,                0.63537,                0.99104,                0.66442,                 1.0187,                 1.7032,                 1.8769,              0.0013087,              0.0013087,              0.0013087
                     88,                 1.8414,                 1.5737,                 2.1947,                0.99983,                0.58785,                0.81528,                0.51912,                 1.2486,                  1.997,                 2.0157,              0.0013073,              0.0013073,              0.0013073
                     89,                 1.5982,                 1.2751,                 2.1223,                0.99983,                0.58785,                0.81528,                0.51912,                 1.2486,                  1.997,                 2.0157,              0.0013059,              0.0013059,              0.0013059
                     90,                 1.3385,                 1.1481,                 1.6936,                0.98953,                 0.5278,                0.91063,                0.52857,                 1.2376,                 2.0942,                 1.9957,              0.0013045,              0.0013045,              0.0013045
                     91,                 1.7624,                 1.7387,                 2.3194,                0.98953,                 0.5278,                0.91063,                0.52857,                 1.2376,                 2.0942,                 1.9957,              0.0013031,              0.0013031,              0.0013031
                     92,                 1.6227,                 1.3247,                 2.1766,                0.98204,                0.51478,                  0.995,                0.57438,                 1.1586,                 1.9802,                 1.8375,              0.0013017,              0.0013017,              0.0013017
                     93,                 1.5193,                 1.6625,                 2.1696,                0.98204,                0.51478,                  0.995,                0.57438,                 1.1586,                 1.9802,                 1.8375,              0.0013003,              0.0013003,              0.0013003
                     94,                 1.3653,                 1.1967,                 1.9105,                0.98847,                 0.6201,                  0.995,                0.62255,                 1.1169,                 1.8835,                  1.774,              0.0012988,              0.0012988,              0.0012988
                     95,                 1.4838,                 1.2256,                 2.0868,                0.98847,                 0.6201,                  0.995,                0.62255,                 1.1169,                 1.8835,                  1.774,              0.0012974,              0.0012974,              0.0012974
                     96,                  1.405,                 1.1837,                 1.7088,                0.98848,                0.66667,                0.97011,                 0.6635,                 1.0722,                 1.5293,                 1.7546,               0.001296,               0.001296,               0.001296
                     97,                 1.3419,                 1.1367,                  1.951,                0.98848,                0.66667,                0.97011,                 0.6635,                 1.0722,                 1.5293,                 1.7546,              0.0012946,              0.0012946,              0.0012946
                     98,                 1.4536,                 1.1436,                 2.1278,                0.99379,                0.66667,                0.97299,                0.58953,                 1.2618,                 1.3712,                 1.8746,              0.0012932,              0.0012932,              0.0012932
                     99,                 1.3026,                 1.1514,                 2.0182,                0.99379,                0.66667,                0.97299,                0.58953,                 1.2618,                 1.3712,                 1.8746,              0.0012918,              0.0012918,              0.0012918
                    100,                 1.2544,                 1.1122,                 1.6824,                0.99294,                0.66667,                0.83565,                0.56388,                 1.1394,                 1.3007,                 1.8096,              0.0012904,              0.0012904,              0.0012904
                    101,                 1.4777,                  1.212,                 1.7942,                0.99294,                0.66667,                0.83565,                0.56388,                 1.1394,                 1.3007,                 1.8096,              0.0012889,              0.0012889,              0.0012889
                    102,                 1.4302,                 1.3412,                 2.0489,                0.75162,                    0.8,                0.88522,                0.61558,                  1.021,                 1.0826,                 1.7229,              0.0012875,              0.0012875,              0.0012875
                    103,                  1.314,                 1.1709,                 1.7761,                0.75162,                    0.8,                0.88522,                0.61558,                  1.021,                 1.0826,                 1.7229,              0.0012861,              0.0012861,              0.0012861
                    104,                 1.3907,                 1.1358,                 1.9845,                 0.6597,                0.66667,                0.77389,                0.50654,                 1.1236,                 1.2388,                 1.7562,              0.0012847,              0.0012847,              0.0012847
                    105,                 1.3942,                 1.1816,                   1.77,                 0.6597,                0.66667,                0.77389,                0.50654,                 1.1236,                 1.2388,                 1.7562,              0.0012833,              0.0012833,              0.0012833
                    106,                 1.1658,                 1.1654,                 1.7689,                0.65523,                0.66667,                0.77389,                0.54598,                0.96932,                 1.2761,                 1.6575,              0.0012819,              0.0012819,              0.0012819
                    107,                 1.2774,                 1.0553,                 1.6956,                0.65523,                0.66667,                0.77389,                0.54598,                0.96932,                 1.2761,                 1.6575,              0.0012805,              0.0012805,              0.0012805
                    108,                 1.3699,                 1.2906,                  1.872,                0.99437,                0.66667,                0.77389,                0.58971,                0.92794,                 1.3221,                 1.6377,               0.001279,               0.001279,               0.001279
                    109,                  1.274,                 1.0224,                 1.8366,                0.99437,                0.66667,                0.77389,                0.58971,                0.92794,                 1.3221,                 1.6377,              0.0012776,              0.0012776,              0.0012776
                    110,                 1.2269,                 1.0265,                 1.7116,                0.99295,                0.66667,                0.76862,                0.60588,                0.87575,                 1.3257,                 1.6133,              0.0012762,              0.0012762,              0.0012762
                    111,                0.96365,                0.99478,                 1.5909,                0.99295,                0.66667,                0.76862,                0.60588,                0.87575,                 1.3257,                 1.6133,              0.0012748,              0.0012748,              0.0012748
                    112,                 1.1447,                  1.038,                 1.6905,                0.99075,                0.66667,                0.76384,                 0.6078,                0.90065,                 1.2748,                 1.5895,              0.0012734,              0.0012734,              0.0012734
                    113,                 1.2838,                  1.165,                 1.7926,                0.99075,                0.66667,                0.76384,                 0.6078,                0.90065,                 1.2748,                 1.5895,               0.001272,               0.001272,               0.001272
                    114,                  1.442,                 1.2293,                 1.9433,                0.95381,                0.87717,                0.96131,                0.71304,                0.89113,                 1.0982,                 1.5695,              0.0012706,              0.0012706,              0.0012706
                    115,                 1.0944,                  1.018,                 1.7044,                0.95381,                0.87717,                0.96131,                0.71304,                0.89113,                 1.0982,                 1.5695,              0.0012691,              0.0012691,              0.0012691
                    116,                 1.0128,                 0.8615,                 1.5749,                0.90959,                0.95764,                0.97542,                0.71013,                 1.0237,                0.92217,                 1.6309,              0.0012677,              0.0012677,              0.0012677
                    117,                 1.0513,                0.98896,                 1.5925,                0.90959,                0.95764,                0.97542,                0.71013,                 1.0237,                0.92217,                 1.6309,              0.0012663,              0.0012663,              0.0012663
                    118,                 1.0405,                0.89146,                  1.531,                0.94445,                      1,                0.98806,                0.70449,                 1.0414,                0.85651,                 1.6514,              0.0012649,              0.0012649,              0.0012649
                    119,                  1.271,                0.99012,                 1.6358,                0.94445,                      1,                0.98806,                0.70449,                 1.0414,                0.85651,                 1.6514,              0.0012635,              0.0012635,              0.0012635
                    120,                 1.0187,                0.94791,                 1.5287,                0.96287,                0.96667,                0.97852,                0.76203,                0.83805,                0.93708,                 1.5244,              0.0012621,              0.0012621,              0.0012621
                    121,                0.96271,                0.92344,                 1.5241,                0.96287,                0.96667,                0.97852,                0.76203,                0.83805,                0.93708,                 1.5244,              0.0012606,              0.0012606,              0.0012606
                    122,                 1.1228,                0.91172,                 1.5391,                0.97834,                0.74479,                0.96454,                0.74774,                0.80812,                 1.0561,                 1.5019,              0.0012592,              0.0012592,              0.0012592
                    123,                 1.0023,                0.94047,                 1.5441,                0.97834,                0.74479,                0.96454,                0.74774,                0.80812,                 1.0561,                 1.5019,              0.0012578,              0.0012578,              0.0012578
                    124,                 1.2351,                 1.0138,                 1.5731,                0.82704,                0.83662,                0.98299,                0.77034,                0.88719,                 1.1267,                 1.5602,              0.0012564,              0.0012564,              0.0012564
                    125,                 1.0271,                0.88062,                 1.4675,                0.82704,                0.83662,                0.98299,                0.77034,                0.88719,                 1.1267,                 1.5602,               0.001255,               0.001255,               0.001255
                    126,                 1.1678,                 1.0107,                 1.4293,                0.78654,                 0.9198,                0.99183,                0.75952,                0.90192,                 1.1739,                 1.6065,              0.0012536,              0.0012536,              0.0012536
                    127,                 1.0979,                0.96071,                 1.6031,                0.78654,                 0.9198,                0.99183,                0.75952,                0.90192,                 1.1739,                 1.6065,              0.0012522,              0.0012522,              0.0012522
                    128,                0.98154,                0.92254,                 1.6118,                0.83134,                 0.7683,                0.97596,                0.68727,                 1.0175,                 1.4722,                  1.742,              0.0012507,              0.0012507,              0.0012507
                    129,                 1.2592,                  1.091,                 1.7893,                0.83134,                 0.7683,                0.97596,                0.68727,                 1.0175,                 1.4722,                  1.742,              0.0012493,              0.0012493,              0.0012493
                    130,                 1.1565,                0.98605,                 1.6238,                0.76101,                 0.6283,                0.88268,                0.55535,                 1.2455,                 1.6701,                 1.8603,              0.0012479,              0.0012479,              0.0012479
                    131,                 1.1733,                 1.0103,                 1.7153,                0.76101,                 0.6283,                0.88268,                0.55535,                 1.2455,                 1.6701,                 1.8603,              0.0012465,              0.0012465,              0.0012465
                    132,                 1.0775,                0.83602,                 1.5336,                0.92207,                  0.925,                0.96636,                 0.6905,                 1.0162,                 1.0904,                 1.6704,              0.0012451,              0.0012451,              0.0012451
                    133,                 1.1395,                 1.1063,                 1.6047,                0.92207,                  0.925,                0.96636,                 0.6905,                 1.0162,                 1.0904,                 1.6704,              0.0012437,              0.0012437,              0.0012437
                    134,                0.97832,                 1.1021,                 1.6367,                0.99277,                0.99874,                  0.995,                0.78472,                0.82146,                0.78324,                 1.5178,              0.0012423,              0.0012423,              0.0012423
                    135,                 1.0712,                 0.9691,                 1.6379,                0.99277,                0.99874,                  0.995,                0.78472,                0.82146,                0.78324,                 1.5178,              0.0012408,              0.0012408,              0.0012408
